Time,E_cadherin,Foxo3a,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_mTOR,vimentin
8550,0.02688513891090085,0.1117391239096395,0.6337733836598064,0.3031683953795596,0.1,0.0007968447882893737,9.913924187164046,0.007950017879323069,0.08527896801175655,0.0001835727589878147,9.894597950088709,0.1054020499112935,5.505426782807548e-05,352.5547789982154,0.972487069358284,3.032545190485006,0.09049479985021285,0.9094501458626718,88.46902618529526,7.386426059621026e-21,1.324902950188035,22.11703219323967,1.324902950188029,1.324902950188035,0.1846473049587953,27.64623395818738
8560,0.02688460371770714,0.1117390777168571,0.633773677107092,0.3031685352491142,0.1,0.0007968288961653984,9.91392549076571,0.007950017891138719,0.08527768030220943,0.000183569992706064,9.894597949933377,0.1054020500666241,5.505317363584212e-05,352.5618629523458,0.9724724871292842,3.032560643681873,0.09049438034195324,0.9094505664650961,88.47080348925665,7.387478176837582e-21,1.324903565835838,22.11747806497261,1.324903565835833,1.324903565835838,0.1846473907799839,27.64679168563458
8570,0.02688407207546987,0.1117390318389564,0.6337739685591949,0.3031686741702805,0.1,0.0007968131093107965,9.913926785541259,0.007950017902880279,0.08527640131350661,0.0001835672452428312,9.894597949779028,0.1054020502209742,5.505208687103537e-05,352.5688980323105,0.9724580047471312,3.032575991136106,0.09049396367759178,0.909450984216196,88.47256853115343,7.388498647223642e-21,1.32490417728767,22.11792086053291,1.324904177287664,1.32490417728767,0.184647476016162,27.64734556519237
8580,0.02688354394527633,0.1117389862730388,0.6337742580348137,0.3031688121521264,0.1,0.0007967974265604619,9.913928071574066,0.007950017914548857,0.08527513096343846,0.0001835645164258305,9.894597949625643,0.105402050374358,5.505100746348356e-05,352.5758846216648,0.9724436213361535,3.032591233778525,0.09049354982989573,0.909451399143274,88.47432140721962,7.389485873358124e-21,1.324904784582155,22.11836060406321,1.324904784582149,1.324904784582155,0.1846475606727084,27.64789562706015
8590,0.02688301928821381,0.1117389410162057,0.633774545552647,0.3031689492037202,0.1,0.0007967818467492885,9.913929348947509,0.007950017926145556,0.08527386916979532,0.0001835618060827764,9.894597949473212,0.1054020505267897,5.5049935343015e-05,352.5828231039641,0.9724293360206799,3.03260637253995,0.09049313877163238,0.9094518112736334,88.47606221368929,7.390438257819949e-21,1.324905387757919,22.11879731970614,1.324905387757913,1.324905387757919,0.184647644755002,27.64844190143729
8600,0.02688249806536958,0.1117388960655585,0.6337748311313932,0.3031690853341296,0.1,0.0007967663687121705,9.913930617744958,0.007950017937671484,0.08527261585036756,0.000183559114041383,9.894597949321719,0.1054020506782834,5.5048870439458e-05,352.5897138627639,0.972415147925039,3.032621408351201,0.09049273047556902,0.9094522206345769,88.47779104679648,7.391354203188032e-21,1.324905986853587,22.11923103160434,1.324905986853582,1.324905986853587,0.1846477282684216,27.64898441852319
8610,0.02688198023783093,0.1117388514181985,0.6337751147897509,0.303169220552423,0.1,0.0007967509912840015,9.913931878049793,0.007950017949127744,0.08527137092294552,0.0001835564401293648,9.894597949171148,0.1054020508288533,5.504781268264087e-05,352.5965572816194,0.9724010561735595,3.032636342143094,0.09049232491447294,0.9094526272534075,88.47950800277526,7.392232112041298e-21,1.324906581907786,22.11966176390044,1.324906581907781,1.324906581907786,0.1846478112183461,27.64952320851722
8620,0.02688146576668514,0.1117388070712272,0.6337753965464187,0.3031693548676682,0.1,0.0007967357132996759,9.913933129945383,0.007950017960515443,0.08527013430531957,0.0001835537841744359,9.894597949021488,0.1054020509785135,5.504676200239192e-05,352.6033537440861,0.9723870598905699,3.032651174846452,0.09049192206111141,0.909453031157428,88.48121317785966,7.393070386958663e-21,1.324907172959142,22.12008954073708,1.324907172959136,1.324907172959142,0.1846478936101544,27.65005830161877
8630,0.0268809546130195,0.1117387630217458,0.6337756764200949,0.3031694882889333,0.1,0.0007967205335940873,9.913934373515106,0.007950017971835687,0.08526890591528005,0.0001835511460043108,9.894597948872724,0.1054020511272783,5.504571832853947e-05,352.6101036337193,0.9723731582003992,3.032665907392094,0.09049152188825173,0.9094534323739415,88.48290666828375,7.393867430519047e-21,1.324907760046278,22.12051438625689,1.324907760046273,1.324907760046278,0.1846479754492253,27.65058972802721
8640,0.02688044673792128,0.1117387192668559,0.6337759544294783,0.3031696208252864,0.1,0.0007967054510021299,9.913935608842339,0.00795001798308958,0.08526768567061734,0.0001835485254467036,9.89459794872484,0.1054020512751617,5.504468159091182e-05,352.6168073340745,0.9723593502273755,3.032680540710837,0.09049112436866118,0.9094538309302509,88.48458857028156,7.394621645301369e-21,1.324908343207822,22.1209363246025,1.324908343207817,1.324908343207822,0.1846480567409377,27.65111751794194
