Time,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,T315,p_473S_Akt,p_mTOR
2910,0.6313660349611472,0.3020214818604293,0.1,0.0009276704632360198,9.903606440498443,0.007949921224703593,0.0954658890307053,0.000205450258856969,9.894599220903215,0.1054007790967502,6.404724957664787e-05,302.5252250606146,1.087736189899158,2.910527084661465,0.09393461421411595,0.9060013385394562,0,1.319849961798391,0.1839428969725066
2920,0.6313856874188487,0.3020308396436521,0.1,0.0009265993875427058,9.903687732516435,0.007949922010254806,0.09538566808842661,0.0002052780081604839,9.89459921057275,0.1054007894272145,6.397370035085833e-05,302.8774113895448,1.086829265960247,2.911486337009914,0.09390654942886091,0.9060294768739282,0,1.31989123460611,0.1839486507861007
2930,0.6314051603791418,0.3020401120481822,0.1,0.0009255381631491,9.903768327682485,0.007949922788673677,0.09530613414679621,0.0002051072315849816,9.894599200335959,0.1054007996640055,6.390082546244495e-05,303.2271717315678,1.085930091465987,2.912437407478856,0.09387874068279653,0.9060573584948708,0,1.319932130039495,0.1839543519864442
2940,0.6314244560348543,0.3020493001128068,0.1,0.0009244866576360157,9.90384823401898,0.007949923560067027,0.09522727931584671,0.0002049379125589753,9.894599190191368,0.1054008098085971,6.382861663913846e-05,303.5745234388588,1.085038582342573,2.913380384934306,0.09385118486167431,0.9060849865248048,0,1.319972652712013,0.1839600012167635
2950,0.6314435765788142,0.302058404876313,0.1,0.0009234447385842659,9.903927459548305,0.007949924324541675,0.0951490957056107,0.000204770034510978,9.894599180137503,0.1054008198624631,6.375706560866952e-05,303.9194838635934,1.084154654516206,2.914315358242281,0.0938238788512457,0.9061123640862512,0,1.320012807237133,0.1839655991202854
2960,0.6314625242038493,0.3020674273774879,0.1,0.000922412273574664,9.904006012292848,0.007949925082204443,0.09507157542612078,0.0002046035808695027,9.894599170172887,0.1054008298270775,6.368616409876882e-05,304.2620703579471,1.083278223913082,2.915242416268798,0.09379681953726217,0.9061394943017306,0,1.320052598228323,0.1839711463402365
2970,0.6314813011027873,0.3020763686551185,0.1,0.0009213891301880228,9.904083900274996,0.00794992583316215,0.0949947105874096,0.0002044385350630626,9.894599160296051,0.1054008397039139,6.361590383716705e-05,304.6023002740952,1.0824092064594,2.916161647879871,0.0937700038054752,0.906166380293764,0,1.320092030299051,0.1839766435198433
2980,0.6314999094684565,0.3020852297479918,0.1,0.0009203751760051558,9.904161131517133,0.007949926577521619,0.09491849329950974,0.0002042748805201707,9.894599150505519,0.1054008494944464,6.354627655159489e-05,304.9401909642133,1.081547518081358,2.917073141941517,0.09374342854163627,0.906193025184872,0,1.320131108062785,0.1839820913023326
2990,0.6315183514936843,0.3020940116948951,0.1,0.0009193702786068759,9.904237714041647,0.007949927315389665,0.09484291567245381,0.0002041126006693401,9.894599140799816,0.1054008592001487,6.347727396978303e-05,305.2757597804768,1.080693074705155,2.917976987319753,0.09371709063149683,0.9062194320975756,0,1.320169836132993,0.1839874903309308
3000,0.6315366235103557,0.3021027127686574,0.1,0.0009183747842954273,9.904313632866481,0.007949928046275187,0.09476799234199332,0.0002039517228630449,9.894599131187139,0.1054008688128259,6.340890841306917e-05,305.6090029786768,1.079845987569907,2.918873063288718,0.09369099525164794,0.9062455958429604,0,1.320208206998535,0.1839928395604781
