Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
3970,0.07539745688170538,0.03086710596821657,0.1386751111836307,0.07213444880330086,0.4951899463449146,0.3046500718220077,2.164043699270754,0.1,0.0009146146338558143,9.904683164428782,0.007949926867748801,0.09440222086031633,0.0002032262218670067,9.894599145254602,0.1054008547453662,6.307063553513209e-05,306.8753923190245,1.076657138782332,2.922326531679895,0.09358911675212161,0.9063478125948569,76.95786797199131,0.2,1.03518728292102,19.23450557904931,1.03518728292102,1.03518728292102,0.1507959914734729,0.1442705331559406,24.04188730999804
3980,0.07539852585664931,0.03085146967631059,0.138673438453587,0.07213546345271347,0.4951968386461456,0.304654165428784,2.164074058774628,0.1,0.0009141503578741655,9.904718602753594,0.007949927212046778,0.0943672468080085,0.0002031510770809942,9.894599140727909,0.1054008592720593,6.30388252453334e-05,307.0323605904769,1.076260961660634,2.922745587346524,0.09357694605776233,0.9063600150987289,76.9972500243895,0.2,1.035201748290346,19.24438530249568,1.035201748290346,1.035201748290346,0.1507981209926168,0.1442725496760959,24.05424554656707
3990,0.07539958634929007,0.03083596007720004,0.138671779112305,0.07213647002883575,0.4952036758093353,0.3046582262137781,2.164104176431803,0.1,0.0009136898479885177,9.904753768112338,0.007949927553455803,0.0943325419555627,0.0002030765105442489,9.894599136239025,0.1054008637609433,6.300726901045907e-05,307.188247346689,1.075867834171427,2.923161421214511,0.09356487297369193,0.9063721197382374,77.03636072983858,0.2,1.035216098200642,19.25419695360829,1.035216098200642,1.035216098200642,0.1508002335930423,0.144274550103294,24.06651863362407
4000,0.07540063844096266,0.03082057615769108,0.1386701330390576,0.07213746860638535,0.495210458313704,0.3046622544556573,2.164134054449305,0.1,0.0009132330742211125,9.904788662879239,0.007949927891989636,0.09429810395872595,0.0002030025172392435,9.894599131787757,0.105400868212211,6.297596453495795e-05,307.3430608131977,1.075477730253022,2.923574060868845,0.09355289667385774,0.9063841273417299,77.07520215199027,0.2,1.035230333681656,19.26394105006047,1.035230333681656,1.035230333681656,0.1508023294343008,0.1442765345813059,24.07870721870273
4010,0.07540168221300203,0.03080531690458989,0.1386685001131176,0.07213845926008002,0.4952171866384724,0.3046662504330889,2.164163695034163,0.1,0.0009127800065941915,9.904823289428524,0.007949928227662037,0.09426393047324524,0.0002029290921484503,9.894599127373914,0.105400872626055,6.294490952327893e-05,307.4968092155399,1.075090623843731,2.923983533894515,0.0935410163322071,0.9063960387375537,77.11377635449634,0.2,1.035244455763134,19.27361810952554,1.035244455763134,1.035244455763134,0.1508044086759438,0.1442785032539022,24.09081194933675
4020,0.07540271774674319,0.03079018130470263,0.1386668802137578,0.07213944206463742,0.4952238612628607,0.3046702144247402,2.164193100393404,0.1,0.0009123306151299962,9.904857650134419,0.00794992856048677,0.09423001915486758,0.0002028562302543419,9.894599122997301,0.105400877002668,6.291410167987088e-05,307.6495007792525,1.074706488881863,2.92438986787651,0.09352923112268734,0.9064078547540561,77.15208540100852,0.2,1.035258465474824,19.28322864967683,1.035258465474824,1.035258465474824,0.1508064714775229,0.1442804562648537,24.10283347305985
4030,0.07540374512352113,0.03077516834483546,0.138665273220251,0.0721404170947753,0.4952304826660895,0.3046741467092786,2.164222272734056,0.1,0.0009118848698507684,9.904891747371149,0.007949928890477595,0.09419636765933996,0.0002027839265393908,9.894599118657727,0.1054008813422426,6.288353870918264e-05,307.8011437298724,1.074325299305731,2.924793090399821,0.09351754021924578,0.9064195762195844,77.19013135517856,0.2,1.035272363846475,19.29277318818766,1.035272363846475,1.035272363846475,0.1508085179985896,0.1442823937579312,24.1147724374057
4040,0.07540476442467083,0.03076027701179456,0.13866367901187,0.07214138442521133,0.4952370513273793,0.3046780475653713,2.164251214263147,0.1,0.0009114427407787495,9.90492558351294,0.007949929217648271,0.0941629736424094,0.0002027121759860694,9.894599114354998,0.1054008856449715,6.285321831566312e-05,307.9517462929363,1.073947029053644,2.925193229049435,0.09350594279582976,0.9064312039624861,77.22791628065822,0.2,1.035286151907834,19.30225224273136,1.035286151907834,1.035286151907834,0.1508105483986953,0.1442843158769055,24.12662948990801
4050,0.07540577573152726,0.0307455062923861,0.1386620974678876,0.07214234413066323,0.4952435677259505,0.3046819172716856,2.164279927187704,0.1,0.000911004197936181,9.904959160934016,0.007949929542012563,0.09412983475982289,0.0002026409735768504,9.894599110088921,0.1054008899110475,6.282313820376114e-05,308.1013166939812,1.073571652063915,2.925590311410343,0.09349443802638659,0.9064427388111084,77.26544224109924,0.2,1.035299830688648,19.31166633098126,1.035299830688648,1.035299830688648,0.1508125628373916,0.1442862227655474,24.13840527810049
4060,0.07540677912542544,0.03073085517341623,0.1386605284675767,0.0721432962858487,0.4952500323410235,0.3046857561068889,2.164308413714755,0.1,0.0009105692113453047,9.904992482008605,0.00794992986358423,0.09409694866732744,0.0002025703142942061,9.894599105859307,0.1054008941406631,6.279329607792562e-05,308.2498631585439,1.073199142274854,2.925984365067532,0.0934830250848636,0.9064541815937988,77.30271130015335,0.2,1.035313401218665,19.32101597061068,1.035313401218665,1.035313401218665,0.15081456147423,0.1442881145676276,24.15010044951683
4070,0.07540777468770034,0.03071632264169113,0.13865897189021,0.07214424096548544,0.4952564456518188,0.3046895643496485,2.164336676051327,0.1,0.0009101377510283621,9.905025549110933,0.007949930182377034,0.09406431302067005,0.0002025001931206091,9.894599101665957,0.1054008983340111,6.27636896426054e-05,308.3973939121613,1.072829473624772,2.926375417605994,0.09347170314520813,0.9064655331389044,77.33972552147232,0.2,1.035326864527633,19.33030167929295,1.035326864527633,1.035326864527633,0.1508165444687619,0.144289991426917,24.16171565169073
4080,0.07540876249968693,0.03070190768401697,0.1386574276150603,0.07214517824429117,0.4952628081375569,0.3046933422786316,2.164364716404448,0.1,0.0009097097870075947,9.905058364615222,0.007949930498404735,0.09403192547559773,0.000202430605038532,9.894599097508685,0.105400902491284,6.273431660224935e-05,308.5439171803703,1.07246262005198,2.926763496610717,0.0934604713813675,0.9064767942747729,77.37648696870788,0.2,1.035340221645299,19.3395239747014,1.035340221645299,1.035340221645299,0.1508185119805389,0.1442918534871863,24.1732515321559
4090,0.07540974264272023,0.0306876092871999,0.1386558955214004,0.07214610819698358,0.4952691202774582,0.3046970901725056,2.164392536981146,0.1,0.0009092852893052442,9.905090930895701,0.007949930811681096,0.09399978368785747,0.0002023615450304471,9.894599093387294,0.1054009066126747,6.270517466130635e-05,308.6894411887076,1.072098555494789,2.927148629666691,0.09344932896728902,0.9064879658297514,77.41299770551178,0.2,1.035353473601412,19.34868337450935,1.035353473601412,1.035353473601412,0.1508204641691125,0.1442937008922063,24.18470873844602
4100,0.07541071519813521,0.03067342643804611,0.1386543754885032,0.07214703089828037,0.4952753825507433,0.3047008083099378,2.164420139988449,0.1,0.0009088642279435522,9.905123250326595,0.007949931122219879,0.09396788531319628,0.000202293008078827,9.894599089301593,0.1054009106983757,6.267626152422527e-05,308.8339741627103,1.071737253891511,2.927530844358903,0.09343827507692005,0.9064990486321873,77.44925979553577,0.2,1.035366621425718,19.35778039639013,1.035366621425718,1.035366621425718,0.1508224011940343,0.1442955337857477,24.19608791809481
