Time,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,T315,p_473S_Akt,p_mTOR
4890,0.2248309604865824,0.3011372978504987,0.1,0.001029732792394695,9.89637613952816,0.007949832582658059,0.1025941276957478,0.000220961811907793,9.894600381494294,0.1053996185057206,7.074990639822332e-05,272.3519167555889,1.171577607045106,2.822195187656855,0.09658788422561593,0.9033413658662368,0.6,0.4700073716905945,0.06550334442301108
4900,0.2248326581571645,0.3011395690783023,0.1,0.001029471312791216,9.896394752977152,0.007949832779177324,0.1025757757274046,0.0002209223073936808,9.894600378915115,0.1053996210849011,7.073214385952195e-05,272.4218762848637,1.171368623545644,2.822415750373314,0.09658107198173076,0.9033481958723742,0.6,0.4700109326168002,0.06550384080872186
4910,0.2248343472965416,0.3011418293328567,0.1,0.00102921049149894,9.896413262324378,0.007949832976523991,0.1025575272024721,0.0002208830347297318,9.894600376327928,0.1053996236720887,7.071448116320191e-05,272.4913510141221,1.171160913212734,2.822634968899273,0.09657429238864086,0.9033549931278841,0.6,0.4700144740116178,0.0655043344568164
4920,0.224836028620963,0.301144079630116,0.1,0.001028950127084631,9.896431673564734,0.007949833175022517,0.1025393763274711,0.0002208439829777748,9.894600373728831,0.1053996262711842,7.069691204518294e-05,272.5603442609265,1.170954427281577,2.822852894722683,0.09656754236487465,0.9033617607205062,0.6,0.4700179971612163,0.06550482554460421
4930,0.2248377028747177,0.30114632102618,0.1,0.001028690009639352,9.896449992916976,0.007949833375011596,0.102521317093543,0.0002208051408079446,9.894600371113757,0.1053996288862589,7.06794300032889e-05,272.6288593161502,1.170749115349263,2.823069581063419,0.09656081870698768,0.9033685018601917,0.6,0.4700215034006949,0.06550531425612505
4940,0.2248393708301344,0.3011485546172941,0.1,0.001028429920778463,9.896468226823709,0.007949833576844163,0.1025033432764499,0.0002207664964986822,9.894600368478461,0.1053996315215548,7.066202829724766e-05,272.6968994439778,1.170544925374769,2.823285082873275,0.09655411808956266,0.9033752198791026,0.6,0.4700249941140825,0.06550580078214878
4950,0.2248410332875816,0.3011507815398497,0.1,0.001028169633641623,9.896486381951391,0.007949833780887386,0.1024854484365745,0.0002207280379367345,9.894600365818532,0.105399634181485,7.064469994869122e-05,272.7644678819049,1.170341803678963,2.82349945683597,0.09654743706520943,0.9033819182316126,0.6,0.4700284707343377,0.06550628532017549
4960,0.2248426910754675,0.3011530029703839,0.1,0.001027908912892792,9.896504465190338,0.007949833987522676,0.1024676259189198,0.0002206897526171545,9.894600363129383,0.1053996368706332,7.062743774115562e-05,272.8315678407379,1.170139694944599,2.823712761367142,0.09654077206456503,0.903388600494306,0.6,0.4700319347433493,0.06550676807443549
4970,0.2248443450502402,0.3011552201255797,0.1,0.001027647514720226,9.896522483654721,0.007949834197145679,0.1024498688531096,0.0002206516276433015,9.894600360406262,0.105399639593754,7.061023422008094e-05,272.8982025045948,1.169938542216319,2.823925056614352,0.09653411939629361,0.9033952703659788,0.6,0.4700353876719355,0.0655072492558892
4980,0.2248459882756288,0.3011574227150642,0.1,0.00102738770637724,9.896540393643537,0.007949834405310963,0.1024322186729538,0.0002206137450879664,9.894600357700305,0.1053996422997103,7.059313482563151e-05,272.9643756873835,1.169738791210901,2.824135886818995,0.09652751053543651,0.9034018963261328,0.6,0.4700388185832078,0.06550772737291335
