Time,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,p_473S_Akt,p_mTOR
2100,0.2777950141932353,0.7,0.00520231298886077,9.783126249535226,0.05942188467979335,0.2116714374666982,0.003286922146874939,9.262507473846568,0.7374925261534208,0.001820499061333006,69.7666833896758,2.444984622053099,1.506663981650186,0.1666069633161595,0.8315725376251464,0.5806464434387727,0.08092197827276995
2110,0.2778745011034495,0.7,0.00518805913752237,9.783362626872552,0.05942197293654709,0.2114493139805071,0.00328344898456145,9.262506455515297,0.7374935444846926,0.001815922425008146,69.96099078359451,2.442378651129868,1.509257178740578,0.1663685928352404,0.8318154847423935,0.580813557620246,0.08094527721809355
2120,0.2779530946391756,0.7,0.005173912530431588,9.783597047214807,0.0594220605939738,0.2112290402450362,0.003280005513113748,9.262505445952188,0.7374945540478017,0.001811398038746403,70.15406157685344,2.439795264985867,1.511828590212026,0.1661329009564608,0.8320557010074433,0.5809787911860024,0.08096831394906812
2130,0.2780308092263111,0.7,0.005159884905399207,9.783829533174751,0.05942214757401193,0.2110105819097638,0.003276591210916156,9.262504445470823,0.7374955545291646,0.001806924896068396,70.34590312353895,2.437234226244509,1.514378445100134,0.1658998444665809,0.8322932306400131,0.5811421740232122,0.08099109262788096
2140,0.2781076605343488,0.7,0.005146015971794415,9.784060225722138,0.05942223368809631,0.2107937582959349,0.00327320406041272,9.262503453694931,0.7374965463050573,0.001802501372769551,70.53652256599985,2.434695359346767,1.516907054504596,0.1656693762091033,0.8325281224207923,0.5813037356404495,0.08101361733595984
2150,0.2781836611509445,0.7,0.005132300467371983,9.78428912753248,0.05942231896449649,0.210578571990223,0.003269843969872062,9.262502470496502,0.7374975295034857,0.001798126803793607,70.72592723779103,2.432178415771808,1.519414626742315,0.1654414584751828,0.8327604147236847,0.5814635032371172,0.08103589187239951
2160,0.2782588199967059,0.7,0.005118826755742857,9.784515679505484,0.05942240261933981,0.2103654937286461,0.003266514667831809,9.26250150449167,0.737498495508317,0.00179380186192555,70.91412440843152,2.429682725305867,1.52190133162231,0.1652160653262986,0.832990132814448,0.5816215004600221,0.08105791957690676
2170,0.2783331505365836,0.7,0.005105600510403581,9.784739931643719,0.05942248463123157,0.2101544678352128,0.00326321546814506,9.262500555392627,0.7374994446073601,0.001789525589401825,71.10112134652084,2.427208068461145,1.524367404587534,0.1649931563552951,0.8332173180579991,0.5817777550958462,0.08107970431854432
2180,0.278406665736499,0.7,0.005092407845177996,9.784962640517197,0.05942256647716042,0.2099449516267848,0.003259942360430216,9.262499611724532,0.7375003882754543,0.001785295983623778,71.28692501330468,2.424754911359173,1.526812886455573,0.1647726918058608,0.8334420122132212,0.5819322914353415,0.08110124946013358
2190,0.2784793778470726,0.7,0.00507925331794306,9.785183771887628,0.05942264809260247,0.2097369747837287,0.003256695451525129,9.262498674343881,0.7375013256561052,0.001781112398288385,71.47154264641502,2.422322988699086,1.529237976103858,0.1645546350418913,0.833664252562523,0.5820851358501821,0.08112255868379092
2200,0.2785512968967899,0.7,0.005066311165089869,9.78540283043492,0.05942272841315013,0.2095308583892932,0.003253476711065594,9.26249774980092,0.7375022501990663,0.001776975129150705,71.65498128325601,2.41991159003148,1.53164303131866,0.1643389564542597,0.8338840684192932,0.582236310773244,0.08114363512759437
2210,0.2786224341792063,0.7,0.005053636031353855,9.785619673494439,0.05942280711481309,0.2093266904632502,0.003250286554491505,9.26249683993094,0.7375031600690475,0.001772883787851776,71.83724802738509,2.417520340876493,1.534028304414247,0.1641256223128992,0.8341014939019625,0.5823858404097664,0.0811644821699526
2220,0.278692800831304,0.7,0.005041104507692583,9.78583466334668,0.05942288492478339,0.2091242321344534,0.003247123247840085,9.262495940322779,0.737504059677207,0.001768837199229047,72.0183498702452,2.415149368924383,1.536393874701599,0.1639145990132088,0.8343165637902834,0.5825337477393787,0.08118510301157837
2230,0.278762407669764,0.7,0.005028596036809303,9.786048151003529,0.05942296254531769,0.2089232529486224,0.00324398511761257,9.262495046787706,0.7375049532122806,0.001764834237390401,72.19829377174977,2.412798794133096,1.538739821735314,0.1637058539392679,0.8345293118260583,0.5826800551498625,0.08120550077129424
2240,0.2788312654544347,0.7,0.005016191767448709,9.786259906713152,0.05942303949977315,0.2087239015086132,0.003240873031122435,9.262494162183874,0.7375058378161125,0.001760874697987853,72.37708674402384,2.410468176690552,1.541066403687092,0.163499354921404,0.8347397703833156,0.5828247855098019,0.08122567863930168
2250,0.2788993842344464,0.7,0.005004048278180685,9.786469470332175,0.05942311487108878,0.2085264813787755,0.003237788948185965,9.262493292148323,0.7375067078516638,0.001756958803219771,72.55473569707847,2.408156876971423,1.543373924640186,0.1632950719427809,0.8349479692567096,0.5829679600990233,0.08124563958327972
2260,0.2789667747329288,0.7,0.004992112348028463,9.786677011155131,0.05942318897387836,0.2083308764856891,0.003234731927056859,9.262492434656737,0.737507565343249,0.001753085694105739,72.7312475829624,2.405864833700555,1.545662530694724,0.1630929728128906,0.8351539414957238,0.5831096014485564,0.08126538674453539
2270,0.2790334468076962,0.7,0.004980190701746774,9.786883144823735,0.05942326296798628,0.208136664463425,0.003231698862276088,9.26249158207494,0.7375084179250446,0.001749253758785164,72.90662910387728,2.403592407256392,1.547932257324705,0.1628930279115221,0.8353577183324107,0.5832497302086262,0.08128492300166246
2280,0.2790994109165236,0.7,0.004968303918493334,9.787087818579046,0.05942333673335927,0.2079438774916924,0.003228689838035194,9.262490735097257,0.7375092649027274,0.001745462520295984,73.0808871927715,2.401339332799719,1.55018330576082,0.162695205894223,0.8355593315881873,0.5833883684184467,0.08130425142777854
2290,0.2791646759632133,0.7,0.004956664550715603,9.787290389450401,0.05942340898725396,0.2077529459881083,0.003225707709688933,9.262489902014231,0.7375100979857542,0.001741712533605056,73.25402859152608,2.399104817393183,1.552416009039656,0.162499480134606,0.8357588073344955,0.5835255352198571,0.08132337469534745
2300,0.2792292521072176,0.7,0.004945254678971189,9.787490925897281,0.05942347983877697,0.2075638194126763,0.003222751978840907,9.262489082031768,0.7375109179682168,0.001738003118639122,73.42606015533323,2.39688871176566,1.554630537006653,0.1623058201685013,0.8359561767155769,0.5836612520251042,0.0813422957901471
2310,0.2792931486024641,0.7,0.004933898435320657,9.787689995163776,0.05942355035132317,0.2073761063897462,0.003219819763808249,9.262488268162947,0.7375117318370376,0.00173433276864428,73.59698847049108,2.394691344018373,1.556826928009098,0.1621141981858996,0.8361514690481766,0.5837955380445439,0.08136101738841525
2320,0.2793563750401023,0.7,0.004922551035981267,9.787887753176763,0.05942362079640502,0.2071896957763448,0.003216910140928655,9.262487458568149,0.7375125414318359,0.001730700667570219,73.76682026516259,2.392512654576943,1.559005324915167,0.1619245854136704,0.8363447139214709,0.5839284134343837,0.08137954230029859
2330,0.2794189401534454,0.7,0.004911345161552003,9.788083784417202,0.05942369036511396,0.207004870410531,0.003214024978165821,9.262486658549388,0.7375133414505958,0.001727107052928659,73.93556221828489,2.390352066082306,1.561165994250808,0.1617369557256411,0.8365359372241348,0.5840598968912997,0.08139787313538614
2340,0.2794808526062355,0.7,0.004900398775598638,9.788277719193141,0.05942375833724584,0.2068218820203377,0.003211165927050688,9.262485872834963,0.737514127165021,0.001723552087543224,74.10322098704644,2.388209044870667,1.563309190376712,0.1615512831990898,0.8367251647160792,0.584190006939668,0.08141601247902018
2350,0.2795421214906564,0.7,0.004889606160438161,9.788469912475046,0.05942382536060613,0.2066404813532905,0.003208331090167142,9.262485097050325,0.7375149029496599,0.001720034639952761,74.26980315681811,2.386083723912386,1.565435004164947,0.1613675405258337,0.8369124248369367,0.5843187625380121,0.08143396297309592
2360,0.2796027554859607,0.7,0.004878773883506097,9.788661005606377,0.05942389262346477,0.2064602204990512,0.003205517166155707,9.262484323188639,0.737515676811345,0.001716553104800061,74.43531516773884,2.383976508514214,1.567543455408083,0.1611857015921662,0.8370977453057513,0.5844461815708726,0.08145172710801743
2370,0.2796627633977235,0.7,0.004867966467922276,9.78885081417385,0.05942395973504808,0.2062812193476248,0.003202724844473031,9.26248355371548,0.7375164462845042,0.001713107276572091,74.59976362959483,2.381887032425803,1.569634763396761,0.1610057400182192,0.8372811527079095,0.5845722826725711,0.08146930748280075
2380,0.2797221533723094,0.7,0.004857418453791059,9.78903865034111,0.05942402527783269,0.2061039311947328,0.003199957073686486,9.26248279763362,0.737517202366364,0.001709697739711,74.76315499628156,2.379814462300603,1.5717092808727,0.1608276314447144,0.8374626708182669,0.5846970831393148,0.08148670651011655
2390,0.279780934042621,0.7,0.004847096626665754,9.789224628682085,0.05942408945257911,0.2059282746809822,0.003197213158862777,9.26248205359321,0.7375179464067738,0.001706323817977055,74.92549581484838,2.377758715662328,1.573767146474373,0.1606513499793004,0.8376423262054111,0.5848206011499955,0.08150392672475756
2400,0.2798391113998923,0.7,0.004836803917657994,9.789409158125991,0.05942415334850216,0.2057540379462,0.003194491988690994,9.26248131615699,0.7375186838429934,0.001702984953889748,75.08679243326742,2.375720065406135,1.575808282444386,0.1604768777879218,0.8378201372608732,0.5849428505298016,0.08152097006545492
2410,0.2798966937352904,0.7,0.004826565626398585,9.789592162138984,0.05942421680455041,0.2055812722245245,0.003191793809696316,9.262480586417567,0.7375194135824161,0.001699680818011184,75.24705135772152,2.373698256623924,1.577832867373183,0.160304190033762,0.83799612915091,0.5850638488727897,0.08153783898659106
2420,0.2799536893914584,0.7,0.004816450241705674,9.789773625625156,0.05942427956101605,0.2054099241234014,0.003189117762643438,9.262479864007284,0.7375201359926987,0.001696410786561672,75.40627881087305,2.371693057797153,1.579841161743727,0.160133261430951,0.8381703277851695,0.5851836121895417,0.08155453570699006
2430,0.2800101062621234,0.7,0.004806457543212811,9.789953580362102,0.05942434164902966,0.2052399620857086,0.00318646347567413,9.262479148347779,0.737520851652205,0.001693174389556642,75.56448117460836,2.369704317114753,1.581833325570096,0.1599640682540524,0.8383427573590727,0.5853021568595146,0.08157106250846775
2440,0.2800659519731405,0.7,0.004796570663905033,9.790132063460023,0.05942440310475647,0.2050713658677973,0.003183830707372303,9.262478439756656,0.7375215602433282,0.001689971097258595,75.72166470493941,2.367731895883451,1.583809495297726,0.1597965877677294,0.8385134411376935,0.5854194992442004,0.08158742167455035
2450,0.2801212342180913,0.7,0.00478678103792769,9.790309106876748,0.05942446393477093,0.2049041120772945,0.003181219156390923,9.26247773849669,0.7375222615032934,0.001686800369574077,75.87783565258371,2.365775646305135,1.585769819444782,0.1596307969962307,0.838682402636877,0.5855356556696257,0.08160361548230252
2460,0.2801759683253361,0.7,0.004777092725560103,9.790484718560403,0.05942452412738455,0.2047381887061521,0.003178628503470101,9.262477044556169,0.7375229554438136,0.001683661241432377,76.03301001385864,2.36383520992985,1.587714622927106,0.1594666500798908,0.8388496886813588,0.5856506598444868,0.08161964864523642
2470,0.2802301599498997,0.7,0.004767507690406794,9.790658884469519,0.05942458367305389,0.2045736078325391,0.003176058780156631,9.262476358096411,0.7375236419035711,0.00168055336583993,76.18719498532626,2.361910435328485,1.589644028190041,0.1593041301462011,0.839015316490641,0.5857645248472665,0.08163552299787469
2480,0.2802838023559312,0.7,0.004758024261325034,9.790831615290321,0.05942464258109016,0.2044103604410877,0.003173509996645961,9.262475678956553,0.7375243210434287,0.001677477161410991,76.34038243757998,2.360001496020241,1.591557890828729,0.1591432573028884,0.8391792655383827,0.5858772353046485,0.08165123638556632
2490,0.2803368955434306,0.7,0.004748642438314825,9.791002911022808,0.05942470085149336,0.204248446531798,0.003170982152938092,9.262475007136596,0.7375249928633862,0.001674432628145562,76.49257237061981,2.35810839200512,1.593456210843168,0.1589840315499527,0.8393415358245839,0.5859887912166329,0.08166678880831132
2500,0.2803895080625191,0.7,0.004739347711081757,9.791172887264615,0.05942475858892276,0.2040877650174509,0.00316847350052136,9.262474341554348,0.7375256584456329,0.001671415935539968,76.64383167763197,2.356229567216885,1.595340441286951,0.1588262470397904,0.839502337027352,0.5860993354152259,0.08168220016870908
2510,0.2804415947914951,0.7,0.004730149630727477,9.791341467925987,0.05942481572448855,0.2039283824366208,0.00316598519031746,9.262473682922142,0.73752631707784,0.00166842960494415,76.79411632755803,2.354366045904003,1.597209625717558,0.1586700392673356,0.8396615311304028,0.5862087738842088,0.08169745736628456
2520,0.2804931542317093,0.7,0.004721048514477395,9.791508650479717,0.05942487225590268,0.203770300999286,0.003163517260552517,9.262473031263633,0.7375269687363487,0.001665473720100936,76.9434248579729,2.352517862085338,1.599063732368195,0.158515412732848,0.8398191135497337,0.5863171035009752,0.08171255996592526
2530,0.2805441863831618,0.7,0.004712044362331513,9.791674434925804,0.05942492818316512,0.2036135207054464,0.00316106971122653,9.262472386578823,0.737527613421159,0.001662548281010328,77.09175726887659,2.35068501576089,1.600902761238862,0.1583623674363274,0.8399750842853451,0.586424324265525,0.08172750796763119
2540,0.2805946912458526,0.7,0.004703137174289831,9.79183882126425,0.05942498350627589,0.203458041555102,0.003158642542339501,9.262471748867711,0.7375282511322709,0.001659653287672324,77.23911356026909,2.348867506930661,1.60272671232956,0.1582109033777739,0.8401294433372366,0.5865304361778584,0.08174230137140234
2550,0.2806447227741551,0.7,0.004694316570596149,9.792001908193065,0.05942503829761499,0.2033037752300455,0.003156234313728082,9.262471117299384,0.7375288827005966,0.001656785769276023,77.38553923195722,2.347064166263298,1.604536682707047,0.1580608585344568,0.8402823556989502,0.5866355505361887,0.08175695567473552
2560,0.2806942996431493,0.7,0.004685578958533765,9.792163729874325,0.05942509258223511,0.2031506911609367,0.003153844526912463,9.262470491586244,0.7375295084137372,0.001653944697542751,77.53105003266506,2.345274589021332,1.606333052096049,0.1579121768258903,0.84043387847925,0.5867397058638631,0.08177147624173706
2570,0.2807433829316507,0.7,0.00467693182577015,9.792324215110026,0.05942514630792334,0.2029988530580742,0.003151474220786432,9.262469872327685,0.7375301276722961,0.001651132215532875,77.67561314009725,2.34349961872788,1.608115029103115,0.1577649751307666,0.8405838926563837,0.5868428218734457,0.0817858518929437
2580,0.2807919726396594,0.7,0.004668375172305303,9.792483363900171,0.05942519947467967,0.2028482609214581,0.003149123395349989,9.262469259523707,0.737530740476273,0.001648348323246398,77.81922855425378,2.341739255382943,1.609882613728244,0.1576192534490857,0.8407323982303513,0.5869448985649361,0.08180008262835545
2590,0.2808400687671753,0.7,0.004659908998139224,9.792641176244759,0.0594252520825041,0.2026989147510884,0.003146792050603133,9.262468653174313,0.7375313468256681,0.001645593020683317,77.96189627513465,2.339993498986521,1.611635805971436,0.1574750117808476,0.8408793952011526,0.5870459359383347,0.0818141684479723
2600,0.2808876803574512,0.7,0.004651531541197373,9.792797670577224,0.05942530414244471,0.2025507978755805,0.00314447992529131,9.262468053150631,0.7375319468493501,0.001642865780438248,78.1036244042217,2.338262152966942,1.613374792236006,0.1573322230250973,0.8410249111971481,0.5871459531243789,0.08182811202003333
2610,0.2809349012096917,0.7,0.004643224524738566,9.792953038094412,0.05942535576909551,0.2024037373745646,0.003142184309607526,9.262467458115999,0.7375325418839804,0.001640161132111661,78.24449697240185,2.336543178426601,1.615101505950457,0.1571906060829775,0.8411692327875928,0.5872451485525534,0.08184194102027736
2620,0.2809816622193649,0.7,0.004635001413755911,9.79310713793619,0.05942540687803185,0.202257860643377,0.003139907199943376,9.262466869055178,0.7375331309448028,0.001637483105901894,78.38445207173967,2.334838077479138,1.616814522703226,0.1570503680479814,0.8413121488487965,0.5873433760342345,0.08185563505920339
2630,0.2810279633864709,0.7,0.004626862208249406,9.793259970102554,0.05942545746925373,0.2021131676820175,0.003137648596298859,9.262466285968163,0.737533714031817,0.001634831701808947,78.52348970223515,2.333146850124551,1.618513842494315,0.1569115089201091,0.841453659380759,0.5874406355694219,0.08186919413681142
2640,0.2810738047110096,0.7,0.004618806908219053,9.79341153459351,0.05942550754276115,0.2019696584904863,0.003135408498673976,9.262465708854958,0.7375342911450231,0.001632206919832821,78.66160986388829,2.331469496362842,1.620199465323722,0.1567740286993605,0.8415937643834805,0.587536927158116,0.08188261825310146
2650,0.2811191861929811,0.7,0.004610835513664851,9.793561831409052,0.05942555709855411,0.2018273330687833,0.003133186907068727,9.262465137715559,0.7375348622844211,0.001629608759973516,78.79881255669909,2.329806016194009,1.621871391191448,0.1566379273857356,0.841732463856961,0.5876322508003164,0.0818959074080735
2660,0.2811641596145734,0.7,0.004602938534060801,9.793710980255669,0.0594256061874591,0.2016860812011365,0.003130982100078341,9.262464571941798,0.7375354280581816,0.001627033994082303,78.93515852480064,2.328155148373884,1.623530838370873,0.1565030500711684,0.8418699159374161,0.5877267191230932,0.08190907733871645
2670,0.2812087215249461,0.7,0.004595116601869387,9.793858973155944,0.05942565480608897,0.2015459102324856,0.00312879419241974,9.262464011574204,0.7375359884257753,0.001624482837287719,79.07064372011537,2.326516976953616,1.625177725674482,0.1563694070789581,0.8420061100864179,0.5878203246208141,0.08192212699629446
2680,0.2812528494127641,0.7,0.004587373842918777,9.794005758069728,0.05942570293234786,0.2014068680770703,0.003126623932441361,9.262463456877168,0.7375365431228113,0.001621956692966873,79.2052417352708,2.324892050235452,1.626811523480776,0.1562370657524809,0.8421409775572128,0.5879130183309733,0.08193504953944675
2690,0.2812965432780275,0.7,0.00457971025720897,9.794151334997022,0.05942575056623577,0.2012689547348904,0.003124471320143204,9.26246290785069,0.7375370921492896,0.001619455561119765,79.33895257026691,2.32328036821939,1.628432231789754,0.1561060260917369,0.8422745183498008,0.5880048002535705,0.08194784496817333
2700,0.2813398031207362,0.7,0.004572125844739967,9.794295703937825,0.05942579770775269,0.201132170205946,0.003122336355525269,9.26246236449477,0.7375376355052103,0.001616979441746396,79.47177622510371,2.32168193090543,1.630039850601416,0.1559762880967259,0.842406732464182,0.5880956703886059,0.0819605132824742
2710,0.2813826469533324,0.7,0.004564617013780076,9.794438903281186,0.059425844380633,0.2009964796929199,0.003120218495293939,9.262461826544753,0.737538173455227,0.001614527325603128,79.60373103408942,2.320096325577598,1.63163477383422,0.155847797629294,0.8425376750477539,0.588185665662225,0.08197305962205061
2720,0.2814251387523484,0.7,0.00455717100722852,9.7945810693772,0.05942589066917638,0.2008617596028156,0.003118115809780743,9.262461293060644,0.7375387069393355,0.001612095628061732,79.73488211695947,2.318522086352644,1.633218400606449,0.1557203624017235,0.8426675419728621,0.5882749172285898,0.08198550224207658
2730,0.2814672256124707,0.7,0.004549798374553855,9.794722089471326,0.05942593650367133,0.2007281121407071,0.003116029894722614,9.262460764819773,0.7375392351802075,0.001609687313426044,79.86517562302996,2.31696042544089,1.634789573918986,0.1555941414261025,0.8427961712631151,0.58836331662993,0.08199782604645879
2740,0.2815089075336993,0.7,0.004542499115756079,9.794861963563564,0.05942598188411783,0.2005955373065945,0.003113960750119551,9.262460241822136,0.7375397581778428,0.001607302381696065,79.99461155230091,2.315411342842335,1.636348293771831,0.1554691347024307,0.8429235629185131,0.5884508638662456,0.08201003103519722
2750,0.2815501845160341,0.7,0.004535273230835192,9.795000691653915,0.05942602681051589,0.2004640351004778,0.003111908375971556,9.262459724067739,0.7375402759322416,0.001604940832871794,80.1231899047723,2.313874838556979,1.637894560164985,0.1553453422307082,0.8430497169390558,0.5885375589375362,0.08202211720829186
2760,0.2815910565594753,0.7,0.004528120719791195,9.795138273742378,0.05942607128286551,0.2003336055223569,0.003109872772278627,9.262459211556576,0.7375407884434039,0.001602602666953232,80.25091068044415,2.312350912584822,1.639428373098448,0.155222764010935,0.8431746333247435,0.5886234018438024,0.08203408456574271
2770,0.281631582821167,0.7,0.004521030840198668,9.795274842091629,0.05942611536487115,0.2002041270520454,0.003107852016914989,9.262458703529065,0.7375412964709155,0.001600284368958933,80.37784382250653,2.310838112014369,1.640951131841142,0.1551012229582691,0.8432984926753999,0.5887085191292253,0.08204595076960845
2780,0.2816717425405112,0.7,0.004514007362002547,9.79541035028543,0.05942615903417638,0.2000756423358166,0.003105846784431133,9.262458200251773,0.7375417997482075,0.001597987172435883,80.50396478510829,2.309336946730132,1.642462345333872,0.1549807812188347,0.8434212316113538,0.5887928663844118,0.08205770962156922
2790,0.2817115217127457,0.7,0.004507052828346463,9.795544767012135,0.0594262022756999,0.1999481801421542,0.003103857529867865,9.262457701904523,0.7375422980954569,0.001595711909514847,80.62925701001687,2.307847760691921,1.643961682316077,0.1548614807153978,0.8435428073777083,0.5888764136515061,0.08206935694033911
2800,0.2817509203378702,0.7,0.004500167239230414,9.795678092271746,0.05942624508944174,0.1998217404710579,0.003101884253225185,9.262457208487316,0.7375427915126636,0.001593458580195825,80.75372049723229,2.306370553899736,1.64544914278776,0.1547433214479584,0.8436632199744633,0.5889591609305085,0.08208089272591813
2810,0.281789938415885,0.7,0.004493350594654402,9.795810326064263,0.05942628747540187,0.199696323322528,0.003099926954503092,9.262456720000152,0.7375432799998275,0.001591227184478816,80.87735524675453,2.304905326353577,1.646924726748918,0.1546263034165164,0.8437824694016187,0.5890411082214186,0.0820923169783063
2820,0.2818285992017416,0.7,0.004486598321100362,9.795941522093855,0.05942632946241711,0.199571879565904,0.003097984872081805,9.262456236115586,0.7375437638843928,0.001589016376362374,81.00018882926238,2.303451511846532,1.64838898051302,0.154510356835324,0.8439006267909241,0.5891223041824915,0.08210363647940561
